id,indicador,categoria,año,valor,distribucion,unidades,fuentes,reservas,reservas globales para ese momento
1,"Pozo Zumaque I (MG-1, Mene Grande, Zulia)",Hitos historicos / Produccion,1914,264.0,"Mercado nacional (Refineria de San Lorenzo, Zulia)",Barriles por dia (bpd),"Ministerio de Minas e Hidrocarburos (PODE) / Caribbean Petroleum Company. Primer pozo de produccion comercial de hidrocarburos de Venezuela, marcando el inicio de la era petrolera comercial.",No certificado,No certificado
2,"Primera exportacion de crudo venezolano (San Lorenzo, Zulia)",Ventas de petroleo / Exportacion,1917,21194.0,"Curazao (Refineria Isla, operada por la Royal Dutch Shell)",Toneladas metricas,Ministerio de Fomento / Boletines historicos de PDVSA. Primer cargamento exportado para su refinacion internacional debido a limitaciones de infraestructura locales.,No certificado,No certificado
4,Primer exportador mundial de crudo y segundo productor (Venezuela),Ventas de petroleo / Exportacion,1928,290000.0,"EE.UU., Reino Unido y Europa Continental (mayoritariamente via Curazao/Aruba)",Barriles por dia (bpd),Ministerio de Fomento / Historiografia de PDVSA. Consolidacion del modelo agroexportador al petrolero bajo la dictadura de Juan Vicente Gomez.,No certificado,No certificado
5,Ley de Hidrocarburos de 1943 y el esquema 'Fifty-Fifty',Hitos historicos / Legislacion,1943,50.0,50% de las ganancias netas petroleras para el Estado y 50% para las empresas concesionarias extranjeras,Porcentaje (%),Gaceta Oficial de los Estados Unidos de Venezuela N° 21.114. Reforma impulsada por el presidente Isaias Medina Angarita que obligo a unificar concesiones y elevar regalias.,6000,60000
6,"Creacion de la OPEP (Bagdad, Irak)",Hitos historicos / Cooperacion Internacional,1960,5.0,"Paises fundadores (Venezuela, Arabia Saudita, Irak, Iran, Kuwait)",Paises,OPEP / Ministerio de Minas e Hidrocarburos. Iniciativa del ministro Juan Pablo Perez Alfonzo para defender los precios corrientes del crudo y regular el mercado.,17390,312000
7,Pico historico de produccion petrolera convencional del siglo XX (Venezuela),Produccion de petroleo,1970,3708000.0,"EE.UU. (60%), Europa (20%), America Latina (15%), otros (5%)",Barriles por dia (bpd),Ministerio de Minas e Hidrocarburos (PODE 1970) / OPEP ASB. Maximo bombeo registrado antes de la caida de produccion tras la nacionalizacion.,14000,550000
8,Nacionalizacion de la industria petrolera y creacion de PDVSA,Hitos historicos / Estatizacion,1976,100.0,100% de activos concesionados pasan al monopolio de la estatal Petroleos de Venezuela S.A. (PDVSA),Porcentaje (%),Gaceta Oficial N° 30.781 / Ley Organica que Reserva al Estado la Industria de Hidrocarburos. Ejecutado bajo la presidencia de Carlos Andres Perez.,18220,645000
9,Produccion de petroleo crudo promedio anual (Venezuela),Produccion de petroleo,1980,2168000.0,"EE.UU. (45%), Caribe y Antillas (20%), Europa Occidental (15%), otros (20%)",Barriles por dia (bpd),PODE Ministerio de Energia y Minas 1980 / OPEP ASB. Contraccion de produccion debido a las cuotas de recorte y la crisis geopolitica mundial.,17870,642000
10,Inicio del proceso de 'Apertura Petrolera' (Venezuela),Hitos historicos / Inversion Extranjera,1990,4.0,"Convenios operativos, asociaciones estrategicas de la Faja, convenios de exploracion a riesgo y ganancias compartidas con IOCs",Esquemas contractuales,Congreso de la Republica / PDVSA. Nueva estrategia de apertura comercial para atraer capital y tecnologia multinacional para procesar crudo extrapesado.,59040,1000000
11,Maximo de produccion de crudo de la Apertura Petrolera (Venezuela),Produccion de petroleo,1997,3453000.0,"EE.UU. (via red de refinerias CITGO), Europa y Latinoamerica",Barriles por dia (bpd),PDVSA Informe de Gestion / OPEP ASB. Maximo bombeo nacional alcanzado mediante asociaciones con multinacionales antes del cambio de politica petrolera del chavismo.,74900,1140000
13,Renacionalizacion y migracion obligatoria a Empresas Mixtas de la Faja del Orinoco,Hitos historicos / Estatizacion,2007,60.0,"PDVSA asume el control del 60% accionario obligatorio en proyectos de la Faja, provocando el retiro de ExxonMobil y ConocoPhillips",Porcentaje (%),Gaceta Oficial N° 38.632 / Decreto Ley N° 5.200. Reforma promovida por Hugo Chavez para retomar el control soberano sobre los recursos hidrocarburiferos de la Faja.,99400,1320000
23,Produccion promedio anual de crudo bajo presion arancelaria de EE.UU.,Produccion de petroleo,2025,950000.0,"EE.UU., China (con triangulacion), India y España (Repsol)",Barriles por dia (bpd),Ministerio de Petroleo / Informes OPEP. Reinstitución de sanciones drásticas por la administración de Trump y caída temporal de bombeo al cierre de año a 800 mil bpd debido a bloqueos marítimos.,303000,1565000
